CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,155,-18,47,-,"3,205.00",-106.90,75,"3,152.50","3,226.40",75,"22,600.00","2,22,150",0.70,0.75,"16,950",-0.40,0.75,44.86,"1,35,097","3,508","63,439",
,-,-,-,-,-,-,150,"3,120.85","3,207.60",150,"22,650.00","1,47,600",0.65,0.70,"2,475",-0.45,0.70,43.90,"82,621","5,060","6,863",
,33,-,1,74.15,"3,160.00",-290.00,150,"3,059.90","3,134.75",75,"22,700.00","1,800",1.05,1.20,"1,800",-0.05,1.15,45.35,"63,340","3,006","18,009",
,-,-,-,-,-,-,150,"3,031.55","3,114.70",150,"22,750.00","2,475",0.85,1.05,450,-0.45,0.85,43.34,"6,029",263,640,
,"1,030",-178,186,-,"3,013.90",-164.30,150,"2,995.85","3,019.10",75,"22,800.00","3,600",0.90,1.05,"88,875",-0.35,0.90,42.89,"62,653","2,406","19,485",
,4,-,-,-,"3,067.65",-,150,"2,921.05","2,989.60",150,"22,850.00",300,0.90,1.15,75,-0.55,0.75,41.47,"2,643",50,322,
,1,-,-,-,"2,857.10",-,150,"2,881.35","2,939.65",150,"22,900.00",900,0.95,1.45,900,-0.30,0.95,41.75,"68,960","7,144","10,399",
,2,-,-,-,"2,952.35",-,150,"2,835.30","2,900.50",150,"22,950.00","1,07,250",0.80,0.85,750,-0.35,0.85,40.61,"35,813","1,940","3,406",
,"8,409","-1,346","1,835",-,"2,820.00",-148.65,150,"2,799.30","2,818.75",75,"23,000.00",600,1.10,1.20,"1,800",-0.10,1.15,41.16,"82,617","2,694","34,698",
,1,-,-,-,"2,708.50",-,150,"2,726.35","2,812.85",150,"23,050.00",900,1.10,1.40,"1,050",-0.25,1.10,40.28,"16,484",-,885,
,7,-1,4,-,"2,715.00",-190.00,150,"2,662.45","2,739.05",150,"23,100.00","3,675",1.30,1.40,"1,575",-0.10,1.30,40.27,"61,497","7,074","9,704",
,2,-,-,-,"2,747.60",-,150,"2,646.65","2,774.10",150,"23,150.00","11,700",0.80,1.80,"2,025",-0.50,0.80,37.67,"14,455",6,719,
,136,-6,6,-,"2,570.00",-215.00,150,"2,574.20","2,647.50",150,"23,200.00","2,625",1.00,1.20,900,-0.35,1.00,37.82,"33,062",-149,"5,071",
,-,-,-,-,-,-,150,"2,534.05","2,593.20",150,"23,250.00","6,150",1.00,1.80,225,0.40,1.80,39.54,"2,857",-30,346,
,41,-14,27,-,"2,483.00",-115.60,150,"2,476.75","2,540.95",150,"23,300.00","1,200",1.30,1.50,525,-0.10,1.30,37.46,"37,770",-783,"2,561",
,4,-,-,-,"2,546.55",-,150,"2,437.60","2,492.75",150,"23,350.00","8,175",1.00,1.45,825,-0.45,1.10,36.12,"4,514",15,538,
,60,-1,1,68.44,"2,491.00",-4.40,150,"2,385.80","2,469.95",150,"23,400.00",900,1.35,2.25,900,-0.15,1.30,36.06,"43,524","-1,001","3,194",
,1,1,2,53.68,"2,397.40",-66.55,150,"2,312.15","2,401.90",150,"23,450.00",900,1.10,1.35,900,-0.20,1.10,34.73,"45,979",440,"3,331",
,"3,826","-1,338","1,679",-,"2,310.00",-174.45,150,"2,310.95","2,319.50",75,"23,500.00",750,1.25,1.40,"1,350",-0.05,1.30,34.65,"1,61,520","-1,442","35,397",
,4,-,2,-,"2,254.40",685.10,150,"2,236.60","2,298.60",150,"23,550.00",900,1.20,1.75,600,-0.40,1.20,33.66,"36,675",223,"1,736",
,72,-4,5,-,"2,200.50",-359.50,150,"2,177.85","2,257.05",150,"23,600.00",900,1.05,2.35,900,-0.30,1.25,33.11,"51,237","-1,209","1,816",
,9,-,-,-,"1,483.95",-,150,"2,145.55","2,187.10",150,"23,650.00",450,1.05,2.00,375,-0.10,1.50,33.07,"13,477",305,951,
,14,-29,30,-,"2,115.00",-83.60,150,"2,056.15","2,141.45",150,"23,700.00",900,1.35,2.40,900,-0.50,1.20,31.57,"64,012","-2,012","3,412",
,10,-1,1,48.72,"2,100.00",-188.35,150,"2,011.55","2,117.25",150,"23,750.00",900,1.10,1.30,900,-0.60,1.10,30.59,"41,808",330,"1,704",
,270,-4,7,-,"2,012.00",-160.50,150,"1,982.70","2,069.55",150,"23,800.00","5,550",1.10,1.50,900,-0.65,1.10,29.90,"66,476","-1,531","10,028",
,14,-1,7,-,"1,903.95",-438.15,150,"1,922.50","2,004.00",150,"23,850.00",900,1.10,1.25,900,-0.70,1.10,29.21,"35,656",-153,"1,280",
,71,-14,36,-,"1,917.35",-231.55,150,"1,876.55","1,968.40",150,"23,900.00",900,1.20,1.30,"1,950",-0.55,1.20,28.79,"65,143","-1,082","3,820",
,33,-,2,44.90,"1,900.60",-52.95,150,"1,834.75","1,912.60",150,"23,950.00","19,050",1.25,1.30,"16,575",-0.55,1.30,28.35,"36,252",-238,"1,772",
,"4,616","-1,344","1,922",-,"1,816.15",-156.80,150,"1,808.65","1,819.15",75,"24,000.00","3,375",1.40,1.45,"2,700",-0.50,1.35,27.76,"3,55,621","1,360","77,427",
,29,1,4,-,"1,720.00",-123.00,150,"1,706.10","1,819.80",150,"24,050.00",900,1.35,1.50,450,-0.50,1.50,27.39,"55,283",-169,"1,405",
,158,-14,42,-,"1,669.75",-202.15,75,"1,707.60","1,769.65",150,"24,100.00","25,500",1.30,1.40,"6,075",-0.55,1.35,26.36,"1,02,594","-2,432","7,221",
,36,-,6,-,"1,673.20",-307.15,150,"1,608.30","1,718.85",150,"24,150.00","2,625",1.35,1.40,"3,825",-0.70,1.40,25.76,"52,955",-673,"1,401",
,283,-23,42,-,"1,608.00",-227.00,75,"1,605.85","1,620.60",150,"24,200.00","28,650",1.35,1.45,750,-0.70,1.45,25.16,"1,47,072",-500,"14,721",
,50,-1,6,39.17,"1,601.75",-131.40,150,"1,508.85","1,595.80",150,"24,250.00",900,1.40,1.90,900,-0.70,1.60,24.73,"70,931","-1,476","1,871",
,498,-49,74,-,"1,512.60",-258.95,75,"1,512.55","1,569.40","1,350","24,300.00","29,475",1.40,1.45,"37,950",-0.95,1.45,23.74,"1,62,488","-8,534","15,499",
,103,1,4,23.52,"1,475.90",-159.00,150,"1,407.20","1,519.15",150,"24,350.00",900,1.50,1.60,75,-1.00,1.50,23.12,"1,05,121",408,"3,126",
,390,-25,109,-,"1,418.30",-174.70,150,"1,359.10","1,444.90",150,"24,400.00","15,150",1.65,1.70,"2,400",-0.95,1.65,22.66,"2,12,331",171,"23,732",
,150,-2,10,-,"1,350.10",-373.20,150,"1,331.80","1,420.00",150,"24,450.00","10,725",1.60,1.85,900,-1.15,1.60,21.86,"79,177",637,"3,976",
,"12,225",-682,"2,042",-,"1,321.25",-160.90,150,"1,317.20","1,324.70",150,"24,500.00","3,375",1.75,1.85,225,-1.25,1.75,21.38,"5,89,203","8,624","1,17,450",
,155,2,12,-,"1,260.30",-207.85,"1,200","1,208.30","1,276.40",150,"24,550.00",75,1.75,1.90,"1,500",-1.25,1.80,20.72,"1,12,357",864,"5,362",
,"4,768",-164,488,-,"1,209.55",-169.10,75,"1,215.70","1,224.90",150,"24,600.00",75,1.95,2.05,"1,350",-1.25,1.95,20.20,"3,70,949","15,311","54,810",
,330,-596,"1,266",-,"1,170.80",-241.85,75,"1,163.95","1,212.85",300,"24,650.00",900,2.25,2.60,75,-0.95,2.40,20.00,"1,82,005",-975,"8,511",
,"13,666",-225,"1,182",-,"1,120.40",-161.90,75,"1,118.05","1,123.95",75,"24,700.00","1,725",2.60,2.70,"2,400",-0.95,2.60,19.46,"4,90,678","6,586","56,760",
,"4,755",-1,637,-,"1,070.00",-197.85,75,"1,065.55","1,076.00",150,"24,750.00","1,200",2.55,2.60,"1,125",-1.30,2.55,18.64,"2,10,760",-756,"9,601",
,"13,550","-1,444","2,888",-,"1,020.30",-161.70,75,"1,017.30","1,021.00",75,"24,800.00","2,475",2.70,2.80,"1,500",-1.35,2.80,18.12,"5,04,469","8,817","86,250",
,452,-79,333,-,962.60,-166.35,300,963.90,972.25,300,"24,850.00",900,2.90,2.95,900,-1.20,2.95,17.48,"2,10,712","2,073","14,185",
,"9,132","-1,184","2,472",-,918.30,-159.40,75,917.90,923.30,300,"24,900.00","1,500",3.10,3.20,"1,800",-1.30,3.20,16.90,"4,52,057","-4,938","36,626",
,348,-71,500,-,864.55,-169.50,300,866.70,872.70,300,"24,950.00","1,050",3.10,3.25,"2,250",-1.65,3.20,16.10,"1,96,610",-554,"10,260",
,"28,635","-4,922","13,668",-,816.80,-161.35,300,817.30,820.00,75,"25,000.00",975,3.40,3.50,"16,500",-1.95,3.40,15.45,"11,24,959","-58,946","1,44,732",
,634,-128,379,-,769.00,-168.65,300,767.05,773.35,300,"25,050.00",450,3.95,4.00,600,-1.50,4.05,15.06,"3,15,207",-160,"11,170",
,"10,145",-990,"2,392",-,717.40,-171.80,300,717.55,721.60,375,"25,100.00","3,000",4.40,4.45,"1,050",-1.50,4.40,14.43,"7,07,274","-1,626","49,454",
,"1,512",-248,618,-,670.00,-168.05,300,668.95,675.45,300,"25,150.00","1,050",4.80,4.90,750,-1.60,4.90,13.85,"4,26,710","3,419","30,916",
,"14,055","-4,238","8,281",-,620.00,-150.95,75,617.90,621.00,75,"25,200.00",825,5.20,5.30,"6,525",-1.50,5.30,13.18,"8,02,831","9,453","81,658",
,"2,647",-225,"1,547",-,569.50,-171.35,300,570.00,575.40,300,"25,250.00",150,5.55,5.60,150,-1.85,5.60,12.43,"4,82,239","3,606","23,697",
,"13,358","-1,282","14,489",-,521.90,-160.55,300,520.05,523.10,300,"25,300.00",75,6.25,6.30,"1,050",-1.85,6.30,11.81,"9,07,027","3,801","61,266",
,"1,496",-183,"3,092",-,468.75,-171.85,300,470.90,475.10,300,"25,350.00",150,7.15,7.30,450,-1.90,7.20,11.20,"8,07,872","-3,637","25,721",
,"16,496","-1,769","19,656",-,424.40,-161.05,300,423.20,428.45,300,"25,400.00",750,8.20,8.25,75,-2.10,8.20,10.56,"13,43,135","12,764","91,508",
,"2,114",-135,"6,197",-,374.40,-167.85,225,375.65,378.20,300,"25,450.00",525,10.05,10.20,600,-2.15,10.05,10.06,"10,37,232","12,902","34,587",
,"32,104","-10,650","1,37,833",6.73,328.00,-165.40,300,327.60,329.95,300,"25,500.00",900,12.65,12.70,750,-1.80,12.60,9.58,"29,15,816","33,092","1,70,683",
,"2,628",465,"26,799",7.53,283.55,-161.60,75,283.75,288.05,300,"25,550.00",150,17.20,17.30,600,-0.30,17.20,9.33,"16,34,518","19,415","40,325",
,"17,261","-3,602","2,20,417",7.77,240.45,-155.25,300,239.70,240.50,300,"25,600.00",975,23.60,23.75,225,1.85,23.60,9.10,"32,39,295","24,169","95,853",
,"5,433","2,821","1,84,652",7.77,199.05,-151.50,300,198.75,200.00,975,"25,650.00",900,32.40,32.55,150,5.45,32.40,8.91,"25,90,959","13,209","45,903",
,"35,059","15,382","11,42,209",7.79,161.10,-145.85,525,160.90,162.00,"3,075","25,700.00",75,44.70,44.85,75,11.90,44.70,8.80,"58,59,914","38,120","1,30,022",
,"39,398","34,052","15,62,964",7.93,128.50,-142.20,225,128.65,129.60,825,"25,750.00",525,62.10,62.40,150,21.30,62.40,8.88,"50,02,620","32,000","69,133",
,"1,15,946","76,856","45,34,826",8.11,100.80,-125.70,"2,100",100.90,101.00,"2,925","25,800.00",225,83.70,84.25,450,32.05,84.25,8.97,"91,24,604","11,448","97,435",
,"80,099","61,950","37,47,976",8.30,77.85,-111.45,"5,850",77.75,77.85,675,"25,850.00","3,450",110.00,111.25,375,45.10,111.55,9.18,"57,26,864","-6,191","35,558",
,"1,47,707","80,542","59,98,013",8.55,59.90,-98.25,450,59.50,60.00,"15,600","25,900.00",225,141.15,142.40,150,60.35,141.05,9.23,"58,12,972","-27,121","50,191",
,"78,317","44,685","33,11,840",8.83,45.90,-83.95,450,45.65,45.90,375,"25,950.00",300,177.15,178.45,75,79.50,177.35,9.60,"18,22,796","-12,790","18,131",
,"2,37,928","85,225","57,98,524",9.18,35.55,-66.95,"18,000",35.55,35.70,975,"26,000.00",375,216.90,217.00,"1,650",96.30,217.00,10.04,"21,07,749","-38,422","53,360",
,"85,824","25,430","24,25,633",9.50,27.40,-52.85,750,27.25,27.40,450,"26,050.00",75,258.30,259.95,75,114.70,261.25,10.78,"3,81,765","-7,424","9,937",
,"1,80,876","35,735","34,00,080",9.89,21.50,-40.50,900,21.25,21.45,150,"26,100.00",300,301.85,304.45,225,124.95,301.45,10.78,"4,35,644","-18,690","25,728",
,"82,594","24,927","16,69,977",10.32,17.25,-29.50,675,17.25,17.40,600,"26,150.00",75,347.50,351.75,300,140.05,348.10,11.49,"71,484","-3,325","5,514",
,"1,88,127","31,028","27,62,693",10.72,13.80,-21.10,"1,200",13.65,13.80,450,"26,200.00","2,025",395.00,401.75,300,144.75,395.15,12.15,"1,49,657","-10,269","13,065",
,"89,455","26,528","14,08,043",11.24,11.60,-13.60,450,11.35,11.65,900,"26,250.00",750,443.30,448.15,150,150.35,445.15,13.27,"18,085","-1,128","1,243",
,"1,29,002","-2,037","18,39,447",11.67,9.55,-8.90,150,9.60,9.70,"1,200","26,300.00",300,486.15,492.80,300,152.85,490.35,13.38,"39,998","-1,993","7,613",
,"61,081","20,408","10,42,386",12.17,8.15,-5.75,75,8.15,8.25,300,"26,350.00",75,535.70,543.15,300,163.50,544.55,15.30,"4,092",-389,557,
,"1,14,459",755,"12,92,087",12.74,7.20,-3.00,900,7.10,7.25,900,"26,400.00",75,589.00,591.35,300,164.50,591.60,15.71,"12,950","-2,202","3,270",
,"42,557","3,431","6,73,014",13.22,6.20,-2.05,"1,575",6.10,6.20,"17,775","26,450.00",75,631.95,644.10,300,163.05,639.15,16.12,"1,299",-21,248,
,"2,70,293","74,275","16,55,791",13.75,5.50,-1.20,"1,875",5.50,5.60,"24,150","26,500.00",750,686.60,688.85,150,169.65,690.30,17.38,"22,035",-215,"10,309",
,"38,432","1,073","5,10,940",14.17,4.70,-0.45,525,4.65,4.70,750,"26,550.00",75,731.55,742.45,300,171.05,739.35,18.10,463,-17,106,
,"1,13,243","39,971","9,55,321",14.53,3.95,-0.35,"1,050",3.85,3.95,"1,275","26,600.00",150,782.00,788.95,300,134.80,765.85,-,"1,042",-146,"2,267",
,"32,904","3,056","5,90,234",15.17,3.75,0.20,"1,650",3.70,3.75,750,"26,650.00",750,834.45,840.65,300,171.25,838.35,19.71,251,-12,71,
,"1,03,875","1,540","12,91,124",15.47,3.10,0.10,975,3.10,3.15,"1,200","26,700.00",75,878.55,889.95,300,161.30,890.55,21.27,232,-19,272,
,"33,535","10,294","6,92,837",15.83,2.65,-,300,2.70,2.80,900,"26,750.00",600,933.30,940.80,300,177.20,944.05,23.15,88,-8,46,
,"1,25,724","2,613","12,65,891",16.45,2.55,0.10,"1,650",2.55,2.65,525,"26,800.00",225,983.55,988.60,300,160.70,989.75,22.88,680,-446,331,
,"30,499","10,000","5,07,887",16.92,2.30,0.05,900,2.20,2.40,"1,425","26,850.00",300,"1,032.85","1,091.55","1,200",164.60,"1,032.70",21.29,91,-,37,
,"90,264","20,549","9,21,731",17.22,1.95,-0.10,"2,025",1.95,2.10,"2,550","26,900.00",600,"1,082.40","1,141.45","1,200",155.95,"1,082.00",21.83,46,-14,79,
,"21,359","11,315","2,68,135",17.84,1.90,-,900,1.85,2.05,"3,825","26,950.00",150,"1,089.25","1,191.25",150,103.00,"1,083.15",-,6,-,13,
,"2,48,735","25,750","12,28,798",18.69,2.05,0.15,"4,500",1.90,2.05,300,"27,000.00",150,"1,183.30","1,185.65",75,161.15,"1,187.35",25.65,"4,008","-1,791","7,318",
,"24,605","8,147","2,02,890",19.11,1.85,0.30,"25,125",1.80,1.95,"1,650","27,050.00",150,"1,214.90","1,255.50",150,-,969.95,-,-,-,3,
,"49,108","19,299","2,69,522",19.77,1.85,0.25,"4,050",1.75,1.85,825,"27,100.00",150,"1,259.70","1,338.85",150,259.45,"1,265.60",-,63,-23,68,
,"19,554","2,000","1,61,291",20.06,1.60,0.05,"1,500",1.65,1.75,"2,175","27,150.00",150,"1,288.05","1,389.20",150,-,998.30,-,-,-,51,
,"41,571","13,850","2,21,468",20.78,1.65,0.20,"2,700",1.60,1.70,"1,350","27,200.00",150,"1,363.75","1,440.10","1,200",204.55,"1,424.10",38.79,51,-18,42,
,"9,004","2,650","1,16,985",21.35,1.60,0.25,"2,775",1.55,1.75,900,"27,250.00",150,"1,406.55","1,461.95",150,-29.90,"1,325.00",-,2,-,2,
,"64,600","18,786","3,58,107",21.35,1.25,-,"38,325",1.25,1.30,900,"27,300.00",150,"1,436.70","1,501.20",150,-,"1,390.00",-,-,-,12,
,"15,871","9,024","1,21,004",22.35,1.45,0.25,"1,500",1.30,1.45,600,"27,350.00",150,"1,507.85","1,561.30",150,-,"1,475.25",-,-,-,1,
,"37,285","24,148","2,78,243",22.69,1.30,0.15,"9,900",1.25,1.30,300,"27,400.00",75,"1,537.50","1,609.50",150,228.15,"1,578.15",27.55,20,-,97,
,"14,153","6,478","1,10,956",23.09,1.20,0.10,"6,600",1.20,1.30,"1,125","27,450.00",150,"1,613.90","1,675.00",150,27.85,"1,580.00",-,1,1,2,
,"52,724","22,420","4,45,849",24.02,1.35,0.35,"1,125",1.35,1.40,"6,825","27,500.00",150,"1,629.55","1,736.25",150,216.30,"1,732.20",46.42,15,-5,38,
,"6,179","4,145","71,170",24.42,1.25,0.25,900,1.25,1.35,"1,725","27,550.00",150,"1,694.85","1,781.60",150,-,-,-,-,-,-,
,"28,841","11,992","1,57,891",25.02,1.25,0.30,375,1.25,1.30,"15,750","27,600.00",150,"1,750.45","1,825.30",150,-,"1,456.00",-,-,-,1,
,"8,654","8,654","74,233",25.63,1.25,-117.85,"5,250",1.25,1.30,"1,500","27,650.00",150,"1,745.05","1,855.50",150,-,-,-,-,-,-,
